2026-04-15 09:01:18 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=de9946ae symbol=0939.HK pred=15.6050 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:18 | LiveTradingLoop | INFO | Buffer[0388.HK] size: 1639 source=YF_LIVE
2026-04-15 09:01:18 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:18 | KiroAlphaEngine | INFO | [WFA][0388.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:18 | DataPreparer | INFO | Prepared tensors with X=(1579, 60, 26) and y=(1579, 1)
2026-04-15 09:01:18 | LiveTradingLoop | INFO | [0388.HK] Fitted with 1639 bars - OK
2026-04-15 09:01:19 | ModelManager | INFO | Prediction (scaled=0.383730, inverse=302.561692, input_dim=26)
2026-04-15 09:01:19 | LiveTradingLoop | INFO | [SELFLEARN] pred_id=3c68a580 symbol=0388.HK pred=302.5617 conf=1.0000 inds=['RSI_14', 'MACD_HIST', 'SMA_5', 'SMA_20', 'BB_LOWER', 'BB_MIDDLE']
2026-04-15 09:01:19 | LiveTradingLoop | INFO | Buffer[0700.HK] size: 1655 source=YF_LIVE
2026-04-15 09:01:19 | TechnicalIndicatorGenerator | INFO | Generated 21 indicators
2026-04-15 09:01:19 | KiroAlphaEngine | INFO | [WFA][0700.HK] use_all_features=True, returning all 28 columns
2026-04-15 09:01:19 | DataPreparer | INFO | Prepared tensors with X=(1595, 60, 26) and y=(1595, 1)
